Tree Condo Ladprao 27,"
Soi Lat Phrao 27, Khwaeng Chan Kasem, Khet Chatuchak
","81,81,80,81,81","22,000,22,000,22,000,25,000,25,000"
U Delight Ratchavibha,"
Vibhavadi Rangsit Frontage Rd, Khwaeng Lat Yao, Khet Chatuchak
","30.05,31,40,40,35,35,30,30,30.5,30.5,30,30,40,30.5,30.5,40,30,30.5,30.5,30.5,30","11,000,11,000,17,000,18,000,16,000,12,000,12,000,11,500,13,000,10,000,10,000,12,000,15,000,12,000,10,000,15,000,12,000,9,000,11,000,12,000"
U Delight @ Jatujak Station,"
Vibhavadi Rangsit 3, Khwaeng Chom Phon, Khet Chatuchak
","30,32,33.72,34,40,32,32,32,31,32,34,32,32,32,69,32,64,32,32,32","13,000,14,000,12,000,10,000,14,000,12,500,14,000,12,500,14,000,13,000,13,000,14,000,12,13k,12,000,28,000,13,500,25,000,15,000,14,000,14,000"
The Zest Ladprao,"
Lat Phrao 7, Chom Phon, Chatuchak, Bangkok 10900
","38,40,41.5,38,36,36,38,36,45","12,500,11,000,13,000,12,000,13,500,13,500,12,000,13,500,14,000"
The Urbano Ratchadapisek 19,"
64/4 Soi Vibhavadi Rangsit 16, Khwaeng Chom Phon, Khet Chatuchak
",43,"15,000"
The Waterford Royal Suit Senanikom,"
610 Soi Suzuki, Khwaeng Chan Kasem, Khet Chatuchak
","31,31,46,45,29,31,31,30,31","6,500,6,000,8,000,10,000,7,100,6,500,6,500,7,000,6,500"
The Unique Ladprao 26,"
Lat Phrao 24/1, Chom Phon, Chatuchak, Bangkok 10900
","50,50,47,50,50,48,39,50,45","19,000,19,000,20,000,19,000,19,000,23,25k,18,000,19,000,16,500"
The Seed Terre Ratchayothin,"
Major Ratchayothin, Lat Yao, Chatuchak, Bangkok 10900
","38.12,34,40,38,38.12,40,50,35,38,35,24,51.33,36,34,34.5,34.5,31,38","16,000,16,000,16,000,12,000,14,000,16,000,22,000,13,500,13,000,13,500,8,550,15,000,13,500,12,000,10,000,10,000,13,000,12,000"
The Unique 19,"
21 Lat Phrao 26 Alley, Lane 2-1, Chom Phon, Chatuchak, Bangkok 10900
",34,"11,000"
The Unique Ladprao 10,"
Lat Phrao 10, Chom Phon, Chatuchak, Bangkok 10900
","27,30,27,27,30,45,30,33","12,000,10,000,13,000,13,000,12,000,20,000,12,999,15,000"
The Royal Vibhavadi,"
46 Vibhavadi Rangsit-Rangsit, Khwaeng Lat Yao, Khet Chatuchak
",,
The Selected Kaset - Ngamwongwan by L.P.N.,"
88/3 Thanon Ngam Wong Wan, Khwaeng Lat Yao, Khet Chatuchak
","28,28,32,32.5,40.8,24.5,29,28,25,32,32.5,32.5,28,32,28,32,28,26,24.5,28.19","14,000,13,000,16,000,16,000,24,000,12,500,14,000,13,500,12,000,16,000,16,000,16,500,15,000,16,000,16,000,16,500,15,000,13,000,12,500,15,000"
The Point Ladprao 19,"
Soi Sangkha Roek Nuea, Chom Phon, Chatuchak, Bangkok 10900
",,
The Plim Place,"
3378 1, Khwaeng Chatuchak, Khet Chatuchak
",,
The Privacy Jatujak,"
ป้ายรถประจำทาง โรงเรียนเซนต์จอห์น 2 Khwaeng Chom Phon, Khet Chatuchak
",,
The Peace,"
Soi Lat Phrao 15, Lane 7, Khwaeng Chom Phon, Khet Chatuchak
",,
The Nigh Condo Ngamwongwan,"
Soi Ngam Wong Wan 59, Lane 1, Khwaeng Lat Yao, Khet Chatuchak
",32,"10,000"
The Room Ratchada - Ladprao,"
Thanon Lat Phrao, Khwaeng Chan Kasem, Khet Chatuchak
","42,40.09,61,61,60,42,40,42,63,41,63,40,60,61.67,40,40,60,41,59,62","14,500,14,000,27,000,25,000,23,000,16,000,13,000,16,000,31,000,15,000,23,000,14,000,20,000,22,000,15,000,15,000,28,000,14,500,23,000,26,000"
The Maple@Ratchada 19,"
327/1 Soi Lat Phrao 26, Lane 2, Khwaeng Chom Phon, Khet Chatuchak
","41,41.99","20,000,26,000"
The Saint Residences,"
Saint John's University, 1110 Vibhavadi Rangsit, Khwaeng Chom Phon, Khet Chatuchak
","35,30.37,31,30,31,30,30.7,30,53,30,31,35,30,115,30,31,29.78,31,30,55,30","19,000,20,000,16,000,20,000,17,000,19,000,16,000,18,000,32,000,16,000,16,19k,15,17k,95,000,20,000,17,000,14,000,15,000,18,000,28,000,16,000"
The L15 Condo,"
21/157 Soi Lat Phrao 15, Lane 2, Khwaeng Chom Phon, Khet Chatuchak
","30,42","11,000,15,000"
The Legacy Vibhavadi,"
Soi Lat Phrao 10, Khwaeng Chom Phon, Khet Chatuchak
",300,"100,000"
The Niche Mono Ratchavipha,"
Sirat Expy, Khwaeng Lat Yao, Khet Chatuchak
","34.52,30,34.28,34.52,30,33.95,30,34,30,30.45,35,30,35,30,30.99,30.8,40,41,30.71,30,34.6","14,000,13,000,14,000,13,000,9,500,14k,10,000,16,000,11,000,10,000,12,000,10,000,11,500,11,000,12,500,18,000,17,000,17,000,12,000,9,000,18,000"
The Light Ladprao,"
198-200 Thanon Lat Phrao, Khwaeng Chom Phon, Khet Chatuchak
","45,45,44,45,44.97,46,45,46,45,45,45,45","17,000,15,900,18,000,13,500,18,000,18,000,15,000,14,000,14,500,12,500,14,200,12,500"
The Elegant Ladprao 1,"
Soi Lat Phrao 1, Lane 1, Khwaeng Chom Phon, Khet Chatuchak
",,
The Classy Ratchadaphisek 19,"
117 Soi Lat Phrao 26, Lane 2-1, Khwaeng Chom Phon, Khet Chatuchak
",,
The Cube Premium Ratchada 32,"
39/26 Soi Ratchadaphisek 36 Yaek 19, Khwaeng Chan Kasem, Khet Chatuchak
","25.54,26,28","11,500,10,500,10,000"
The Issara Ladprao,"
Thanon Lat Phrao, Khwaeng Chom Phon, Khet Chatuchak
","53,34,50,138,52,35,35,52,34,35,70,52,34,52,52,34.5,35,78,54,138,34","24,000,16,000,55,000,60,000,20,000,15,000,17,20k,15,000,15,000,40,000,28,000,16,000,28,000,27,000,17,000,16,000,45,000,23,000,50,000,19,000"
The Belgravia @ Ratchada - Ladprao 15,"
21/174 Soi Lat Phrao 15, Lane 2-4, Khwaeng Chom Phon, Khet Chatuchak
",,
Tawana Residence,"
6-8 Phuak Chit, Khwaeng Chatuchak, Khet Chatuchak
",,
T - One Phaholyothin 32,"
Sana Nikhom 1 Soi 2, Khwaeng Chan Kasem, Khet Chatuchak
",28.3,"11,000"
THE LINE Phahonyothin Park,"
ป้ายรถประจำทาง ตึกช้าง 2 Khwaeng Chatuchak, Khet Chatuchak
",,
THE TREE Ladprao 15,"
Soi Lat Phrao 15, Lane 7, Khwaeng Chom Phon, Khet Chatuchak
","24,40,27.25,27.25","9,000,21,000,12,000,12,000"
The Key Phahonyothin,"
Soi Sena Nikhom 2, Sena Nikhom, Chatuchak, Bangkok 10900
","–,39,33.17,33.75,33,35.5,33,33.25,35,33,34,33.98,35.7,34,34","10,000,12,500,11,000,18,000,11,000,13,000,11,000,10,000,9,500,9,500,10,000,10,000,12,000,12,000,11,000"
Supapong Place,"
136 ซอย ลาดพร้าว 35 Khwaeng Chan Kasem, Khet Chatuchak
","30,60,60,30,68.53,61,30,30","6,700,13,000,14,000,5,500,13,000,14,000,5,500,5,500"
Supalai City Resort Ratchayothin - Phaholyothin 32,"
242 Soi Phahonyothin 32, Khwaeng Chan Kasem, Khet Chatuchak
","66,41,33","22,000,12,000,10,000"
Supalai Park Ratchayothin,"
Supalaipark Radchayothin, ถนนรัชดาภิเษก 10900
","49.4,30,80,66,49.56,33,49,49.5,49.5,49.5,49.4","14,000,14,55k,24,000,16,000,9,500,12,000,11,000,18,000,14,000,16,500"
Supalai Park Phaholyothin,"
Soi Rattanatrai, Chatuchak, Bangkok 10900
","110,41.88,43,97,131,130,43,60,89,97,84,58.63,142,40,87,109,85,49.5,92.9,110","30,000,12,000,11,000,28,000,50,000,35,000,12,000,15,000,30,000,28,000,23,000,17,000,32,000,10,000,23,000,30,000,23,000,11,000,28,000,35,000"
Supalai Park Kaset,"
Thanon Prasert-Manukitch, Khwaeng Sena Nikhom, Khet Chatuchak
","92.8,78.49,50,33,35,52.5,82,78.49,35,78.49,143.9,143.99,35,35,50,35,35,33,52,35","14,000,22,000,11,000,8,000,8,500,15,000,18,000,22,000,7,000,22,000,42,000,42,000,8,000,8,000,9,000,6,500,6,500,7,500,10,000,7,500"
