Regent Home 1 Phaholyothin 67,"
67 Soi, Khwaeng Anusawari, Khet Bang Khen
","30,31,39","5,500,4,500,5,800"
Palm Suite Complex,"
43/109 Soi Phahon Yothin 49/2, Khwaeng Anusawari, Khet Bang Khen
",,
Regent Home 15 Changwattana,"
5 Thanon Chaeng Watthana, Khwaeng Anusawari, Khet Bang Khen
","60,31,30,31,30,28,30,31,30,30,30,30,30,30,31,31","14,000,6,500,6,500,5,499,6,000,6,500,7,000,7,000,6,500,6,500,6,000,6,900,6,500,6,700,6,500,6,700"
Regent Home 10 Changwattana,"
Prapa Bang Khen, Anusawari, Bang Khen, Bangkok 10220
","32,32,33,32,33,32","6,000,5,800,6,000,6,000,6,500,6,000"
Notting Hill Phahol - Kaset,"
57 Thanon Phahon Yothin, Khwaeng Anusawari, Khet Bang Khen
","53,25,44,55,45,53.47,34,35,25,53.5,35.01","18,000,11,000,17,000,22,000,16,000,18,000,15,000,16,000,10,000,22,000,13,000"
NRV Condo Lifestyle,"
178-202 Soi Sorat, Khwaeng Anusawari, Khet Bang Khen
",,
Manon Place,"
67 Soi Santisuk, Khwaeng Anusawari, Khet Bang Khen
",,
Modiz Station,"
253 Phahonyothin Rd, Khwaeng Anusawari, Khet Bang Khen
","23.5,24,26,24,26,26,23,23,23.5,7,24,26,26","7,900,8,500,8,500,12,000,8,500,7,900,8,000,9,000,7,900,12,000,13,000,10,000,10,000"
Lumpini Place Ramindra - Laksi,"
55 ถนน รามอินทรา Khwaeng Anusawari, Khet Bang Khen
","34,34.5,37.58,39,66,35,35,28.31,34.5,35,25","9,900,9,000,12k,8,500,23,000,9,000,9,500,6,500,10,000,9,500,6,500"
Lumpini Ville Ramintra - Laksi,"
22 Soi Rarm Intra 3, Khwaeng Anusawari, Khet Bang Khen
","28.58,26,30.6,25,31,30.5,34.58,25,34,25.67,25,31,30,30.6,30.97","6,500,6,500,6,500,7,500,7,000,7,000,12,000,7,500,7,800,7,000,10,000,800,7,200,7,500,8,500"
Lumpini Condo Town Ramintra - Laksi,"
43/717 Soi Rarm Intra 3, Khwaeng Anusawari, Khet Bang Khen
","25,25.5,28,25.26,28.54,28,28,25,25.5,28.5,25,25,29,28,25,26","6,500,5,500,6,900,5,500,6,500,5,500,6,000,6,000,6,000,7,500,6,000,6,000,7,500,7,500,6,000,6,900"
Lumpini Condo Town Ramindra - Latplakhao,"
9/374 ถนนลาดปลาเค้า Khwaeng Anusawari, Khet Bang Khen
","22.5,52,23,26,22.5,23,56,22.58,26,27,22.5,24,23,23,26,26,23,23,26,26","6,000,12,000,6,000,7,500,6,000,6,500,13,000,6,000,7,000,6,500,6,500,6,000,6,500,6,000,6,500,5,500,6,800,6,800,8,000,6,500"
Knightsbridge Phaholyothin - Interchange,"
Thanon Phahon Yothin Frontage, Khwaeng Anusawari, Khet Bang Khen
","25,32,28.5,36,28,35,32,29,24,29,29,28,34,28,29,–,23,23,24,35","8,500,15,000,11,000,16,000,9,000,14,000,11,000,12,000,12,500,10,000,12,000,11,000,14,500,10,000,13,000,13,000,11,000,9,500,11,500,14,500"
Indra Mansion,"
Soi Rarm Intra 13/1, Khwaeng Anusawari, Khet Bang Khen
",,
Knightsbridge Skycity Saphanmai,"
Thanon Phahon Yothin, Khwaeng Anusawari, Khet Bang Khen
","28,28,28,34.5,26,28,28.9,28,34.5,34.5,25,28,34.5,23,28,30,25,23,23,23","9,500,9,000,8,500,15,000,9,000,9,000,9,000,8,000,13,000,14,000,9,000,9,500,15,000,8,000,9,500,10,000,8,500,8,000,8,490,7,990"
Dalin Place,"
67/283-333 Soi Santisuk, Khwaeng Anusawari, Khet Bang Khen
",42,"5,000"
Esta Phahol - Sapanmai,"
ถนน เทพรักษ์ Khwaeng Anusawari, Khet Bang Khen
","32,30.06,32,33,31,33,26,35","9,000,10,900,11,000,9,000,10,000,9,000,8,000,9,000"
H2 Condominium,"
Soi Ram Intra 19, Lane 2, Khwaeng Anusawari, Khet Bang Khen
","50,22.83,24,21,23,56,23,32,31.3,34,34.5,31,32,22,–,47,30,59,22,22.03","15,000,7,500,7,000,6,500,8,000,20,000,7,000,10,000,9,990,13,000,12,000,9,000,8,998,7,400,8,000,15,000,9,499,9,000,8,000,7,500"
Episode Phahol - Sapanmai,"
ถนน เทพรักษ์ Khwaeng Anusawari, Khet Bang Khen
","30,25,33,30,25,30,29,30,24,24,25,23,–,28.96,25,22.5,25","10,000,9,000,15,000,10,000,8,500,11,000,12,000,10,000,10,000,9,000,9,000,8,500,8,500,12,000,7,500,9,000,9,000"
Condo U Kaset – Nawamin,"
Anusawari, Bang Khen, Bangkok 10220
","26,30,26","8,000,10,000,9,000"
Casa de Sansara,"
8 Soi Phahon Yothin 46/2, Khwaeng Anusawari, Khet Bang Khen
","40,41","6,500,7,200"
Brown Condo Phahol - Sapanmai,"
365 Phahonyothin Rd, Khwaeng Anusawari, Khet Bang Khen
","26,25","9,500,8,500"
Bangkhen City Mansion,"
89 Soi Lat Plakhao 72, Khwaeng Anusawari, Khet Bang Khen
",,
Baan Suan Bangkhen,"
Soi, Khwaeng Anusawari, Khet Bang Khen
",,
Baan Chom View,"
Phahon Yothin 48 Yaek 17/1, Anusawari, Bang Khen, Bangkok 10220
",,
The Cube Urban Sthorn - Chan,"
499 Soi King Chan, Khwaeng Wat Phraya Krai, Khet Bang Kho Laem
",,
D Condo Ramindra,"
Rarm Inthra Road, Khwaeng Tha Raeng, Khet Bang Khen
","30.5,60.12,30,30,32,30,30,30,30,30,30,30,30.7,30,30,30,32,30,30,30","8,000,14,900,7,500,7,500,7,500,8,000,7,000,6,500,8,500,8,000,7,500,7,500,7,000,6,800,8,000,6,500,7,000,8,000,7,500,6,500"
Than Living Sathorn - Charoenrat,"
3725-4334 Thanon Charoen Rat, Khwaeng Bang Khlo, Khet Bang Kho Laem
",,
Riverside Tower,"
466/2 พระราม 3 Khwaeng Bang Khlo, Khet Bang Kho Laem
","250,200,126,200,200,200","90,000,70,000,80,000,60,000,60,000,69,994"
Supalai Lite Sathorn - Charoenrat,"
3725-4334 Thanon Charoen Rat, Khwaeng Bang Khlo, Khet Bang Kho Laem
","49,35,35,49,35,85,49,90,80,49,54,90,90,34.5,54,82,80,49,90,90","22,000,12,000,13,000,18,000,13,000,35,000,18,000,35,000,38,000,18,000,20,000,35,000,35,000,12,500,25,000,40,000,35,000,14,000,34,000,35,000"
Supalai Casa Riva,"
Soi, Khwaeng Bang Kho Laem, Khet Bang Kho Laem
","125.96,119,102,240,70,125,44,64,114,118,125.24,125.24,44,119,102,99,66,96,75.5,219,120","38,000,40,000,25,000,55,000,16,000,35,000,14,000,18,000,38,45k,34,000,30,000,15,000,40,000,25,000,29,900,15,000,20,000,25,000,80,000,42,000"
Salintara,"
3828/14 พระราม 3 Khwaeng Bang Khlo, Khet Bang Kho Laem
","530,220,270,126,126,112,112,165,165,126,165,200,125,200,165","100,000,55,60k,40,000,35,000,55,000,55,000,40,000,45,000,35,000,45,000,80,000,75,000,70,000,50,000"
Star View,"
Thanon Rama III Frontage, Khwaeng Bang Khlo, Khet Bang Kho Laem
","160,77,77,160,77.8,77,81.74,160,77,77,160,77,160,78,77,77,77,78,81,160","130,000,40,000,46,000,130,000,35,000,38,000,65,000,130,000,40,000,40,000,130,000,45,000,130,000,40,000,45,000,40,000,40,000,40,000,65,000,130,000"
River Heaven,"
2667 Charoen Krung Road, Khwaeng Bang Kho Laem, Khet Bang Kho Laem
","113,230,98.93,230,109,109,107,51,109,61,135,100,60,106,135,102.24,109,68,51,50","37,000,70,000,33,000,70,000,37,500,35,000,36,000,18,000,35,000,20,000,70,000,35,000,20,000,33,000,80,000,49,500,37,000,20,000,17,000,20,000"
Rimtara Residence,"
3828/14 พระราม 3 Khwaeng Bang Khlo, Khet Bang Kho Laem
",,
H.P. Tower,"
2029/7 Charoen Krung Rd, Khwaeng Wat Phraya Krai, Khet Bang Kho Laem
",,
Lumpini Place Rama III - Charoen Krung,"
195 Thanon Rama III, Khwaeng Bang Kho Laem, Khet Bang Kho Laem
","31,30.5,30.5,31,37.5,39","10,000,8,000,8,000,8,500,15,000,11,000"
Notting Hill The Exclusive CharoenKrung,"
27 Soi Charoen Krung 93, Khwaeng Wat Phraya Krai, Khet Bang Kho Laem
","36,33,33,33.13,33.13,27.5,33.13,27.5,32,33.13,27.5,40,36,27,32,29,37.82,32,27.5,33,33.13","14,000,14,000,14,000,14,000,15,000,13,000,16,000,13,000,16,000,15,000,12,000,20,000,14,000,15,18k,18,000,22,000,16,000,12,000,20,000,15,000"
Charoenkrung Place,"
Soi Mata Nuson, Khwaeng Bang Kho Laem, Khet Bang Kho Laem
","–,34","45,000,6,500"
Chatrium Residence Riverside,"
1856/2 Soi Charoen Krung 70, Khwaeng Wat Phraya Krai, Khet Bang Kho Laem
","250,200,140,70,370,65,122,122,160,125,120,62,64,66,135,130,185,123,66,122","180,000,110,125k,70,85k,57,62k,250,000,36,000,65,000,62,000,90,000,70,000,60,000,35,000,36,000,38,000,60,000,55,000,90,000,60,000,38,000,65,000"
Menam Residences,"
3 Charoen Krung Road, Khwaeng Wat Phraya Krai, Khet Bang Kho Laem
","50,160,138,48,51,160,160,49,50,139,100,76,45.5,160,50,49,50.51,54,160,45","35,000,160,000,80,000,27,000,33,000,100,000,160,000,38,000,35,000,100,000,65,000,52,000,29,000,160,000,40,000,40,000,55,000,32,000,120,000,38,000"
Lumpini Place Rama III - Riverview,"
Thanon Rama III, Bang Khlo, Bang Kho Laem, Bangkok 10120
","72,42,30,72,53,32,39,39,40,69,32,72,47,40,60,52.31,72,48,40,80","18,000,22,000,9,500,17,000,15,000,10,000,12,000,11,000,12,000,17,500,13,000,16,990,13,000,15,000,18,000,13,000,16,990,11,000,15,000,16,500"
Chatrium,"
Charoen Krung 70, Wat Phraya Krai, Bang Kho Laem, Bangkok 10120
","184,187,184,360,66,130,137,60,130,110,63,70,65,190,135,130,122,135,135,200,110","90,000,90,000,120,000,180,000,35,000,48,75k,30,000,60,000,75,000,32,000,50,000,35,000,100,000,60,000,60,000,65,000,65,000,75,000,135,000,75,000"
Baan Charoenkrung,"
Charoen Krung 85 Yaek 6, Wat Phraya Krai, Bang Kho Laem, Bangkok 10120
",,
Aumnuayrak Condominium,"
Soi Charoen Krung 107, Lane 15/1-1, Khwaeng Bang Kho Laem, Khet Bang Kho Laem
",,
Canapaya Residences,"
Rama 3 Rd, Khwaeng Bang Khlo, Khet Bang Kho Laem
","101,101,100,101","120,000,120,000,110,000,120,000"
Altitude Symphony Charoenkrung - Sathorn,"
38 ซอย จันทน์ 44 Khwaeng Wat Phraya Krai, Khet Bang Kho Laem
",,
Thippharoek Condominium,"
Thanon Rung Pracha, Bang Bumru, Bang Phlat, Bangkok 10700
","63,104,51","50,000,80,000,7,500"
August Condo Charoenkrung 80,"
Soi Charoen Krung 80, Khwaeng Bang Kho Laem, Khet Bang Kho Laem
","44,29,30,30,33,45,32,30,44,30,30,9,30,28,44.15,30","16,000,8,000,8,500,8,500,10,000,19,000,10,000,9,000,16,000,8,500,8,500,1,000,8,500,13,000,17,000,8,500"
Thew River Place,"
999 Soi Phraya Woraphong, Khwaeng Bang Yi Khan, Khet Bang Phlat
","90,127,106,106,70","25,000,35,000,18,000,18,000,15,000"
The Tree Charan Bang Phlat,"
ป้ายรถประจำทาง พิบูลย์สินมาร์เกตติ้ง Khwaeng Bang Ao, Khet Bang Phlat
",,
Thana Tower,"
Charan Sanitwong 40, Bang Yi Khan, Bang Phlat, Bangkok 10700
","314.92,70,90","30,000,12,000,15,000"
Thana Tri,"
59 Soi Charan Sanitwong 40, Khwaeng Bang Yi Khan, Khet Bang Phlat
","78,41,41","16,000,11,000,11,000"
Thana Astoria Pinklao,"
386 Charan Sanitwong Rd, Khwaeng Bang Yi Khan, Khet Bang Phlat
","29.6,29,34,35,24,29,29.04,29.44,35","13,000,14,000,12,000,14,000,9,000,12,000,13,500,13,500"
The Tree RIO,"
289 Charan Sanitwong Rd, Khwaeng Bang Ao, Khet Bang Phlat
","31,31,30,30,30,31,28,30,30,30,31,37.63,60.5,30,37.63,32,27,30.5,30,31,31","12,000,11,880,12,500,9,000,11,880,9,000,10,13k,14,040,12,960,8,500,10,500,20,000,14,040,11,000,10,000,10,000,9,000,10,000,13,000,10,000"
The Parkland Charan – Pinklao,"
Charansanitwong Rd.,, Kwang Bangjeekhan, Khet Bangplad, Bangkok, 10700, 10700
","24,30,30,34.5,30,30.5,30,30,30,30,32,34.5,30,30,30,24,30,24,24,30.5","9,500,12,000,12,000,16,000,11,000,12,500,12,000,12,500,14,000,13,900,19,000,15,000,12,000,15,000,15,000,10,000,14,000,11,500,11,500,12,500"
Urbano Rajavithi,"
159-162 Sirindhorn Rd, Khwaeng Bang Phlat, Khet Bang Phlat
","48,48,48,32,48,30,47,30,49,48,49.33,30,30.66","26,000,26,000,26,000,14,000,26,000,14,000,26,000,15,000,25,000,26,000,20,000,15,000,16,000"
Thana Arcadia,"
Charan Sanitwong 40, Bang Yi Khan, Bang Phlat, Bangkok 10700
","35,63,43,34,43,35","14,000,20,000,15,000,13,000,15,000,13,000"
Supalai City Resort Rama 8,"
1472 Thanon Arun Amarin, Khwaeng Bang Yi Khan, Khet Bang Phlat
","41,36,34.45,33,41,45,36,36","15,000,12,000,13,500,10,000,14,000,15,000,12,000,12,000"
Rattanakosin View Mansion,"
64 สมเด็จพระปิ่นเกล้า Bang Yi Khan, Bang Phlat, Bangkok 10700
","280,279,279,281,280,410,278,280,280,270,410,410,270","50,000,55,000,75,000,55,000,50,000,55,000,75,000,50,000,55,000,50,000,50,000,50,000,55,000"
Rama VI Mansion,"
Charan Sanitwong 96/1, Bang O, Bang Phlat, Bangkok 10700
","32,64","4,999,8,000"
Onpa Tower,"
223 Soi Charan Sanitwong 67, Khwaeng Bang Phlat, Khet Bang Phlat
",,
My Resort @ River,"
50 Soi Wat Awut, Khwaeng Bang Phlat, Khet Bang Phlat
",177,"70,000"
Pinklao Pavilion,"
Soi Phitak Tham, Bang Bumru, Bang Phlat, Bangkok 10700
","–,35","18,000,6,500"
Lumpini Suite Rama Vlll,"
1472/2 Thanon Arun Amarin, Khwaeng Bang Yi Khan, Khet Bang Phlat
",35,"11,800"
Lumpini Suite Pinklao,"
4a Thanon Somdet Phra Pin Klao, Khwaeng Arun Amarin, Khet Bangkok Noi
","35,35,35,35,35,36","11,000,12,000,11,500,11,000,12,000,10,000"
Plum Condo Pinklao Station,"
4a Thanon Somdet Phra Pin Klao, Khwaeng Arun Amarin, Khet Bangkok Noi
","55,26.5,27,26,30,26,25.38,25,27,27,27,26,27.46,24,25.38,27,26,27,27,25","22,000,10,000,11,500,10,000,11,000,15,000,9,000,11,000,11,000,12,500,9,000,12,000,11,000,11,000,8,500,12,000,10,000,11,500,10,000,10,000"
Lumpini Place Pinklao 2,"
338, Khwaeng Arun Amarin, Khet Bangkok Noi
","35,31,35,34.5,61,35,33,35","9,800,8,500,11,000,11,500,20,000,11,000,12,000,12,500"
Lumpini Place Pinklao 1,"
21 338, Khwaeng Arun Amarin, Khet Bangkok Noi
","61,60,60,42,36,42,63","16,000,16,000,16,000,10,000,12,000,10,900,18,500"
Lumpini Place Rama VIII,"
1521 อรุณอัมรินทร์ Khwaeng Bang Yi Khan, Khet Bang Phlat
","30,35,35,35,36,36,35,35,45","9,500,9,500,12,000,10,000,12,15k,12,000,12,000,12,000,18,000"
My Condo Pinklao,"
Charan Sanitwong Road, Khwaeng Bang Bumru, Khet Bang Phlat
","30,52,34,25,25,36,34,25,37,34,34,33,34","8,000,14,000,9,500,8,500,7,000,9,500,8,000,7,500,7,500,9,000,8,500,9,000,8,000"
Little Bangkok,"
Soi Talat Bang O, Bang O, Bang Phlat, Bangkok 10700
",,
Lumpini Park Pinklao,"
642/2 Borommaratchachonnani Road, Khwaeng Bang Bumru, Khet Bang Phlat
","36,26,28,28,28,28,28,28,28,28,29,28,28,56,28,31,28,28,28,28","13,500,9,000,9,000,8,500,13,500,9,000,9,500,9,500,9,500,9,000,9,900,9,500,10,000,14,000,9,000,10,000,8,500,9,500,9,500,9,500"
Loft River Residence,"
Soi Charan Sanitwong 94/1, Khwaeng Bang Ao, Khet Bang Phlat
",,
Kuruthanee Privacy,"
242 จรัญสนิทวงศ์ Khwaeng Bang Phlat, Khet Bang Phlat
",,
De Lapis Charan 81,"
19 Charan Sanitwong Rd, Khwaeng Bang Phlat, Khet Bang Phlat
","27,26,26.5","12,000,11,000,11,500"
Feel Condo Pinklao - Charan 59,"
26 Soi Charan Sanitwong 59, Khwaeng Bang Bumru, Khet Bang Phlat
",,
Kritsakon Condo VIlle,"
Charan Sanitwong 57 Yaek 3-2, Bang Bumru, Bang Phlat, Bangkok 10700
",,
Life Pinklao,"
244 Charan Sanitwong Rd, Khwaeng Bang Yi Khan, Khet Bang Phlat
","30,30,30,30,35,30,30,35,30,30.5,58,26,30,58,30,31,31,36,30,30","13,000,13,000,13,000,13,000,13,000,13,000,12,000,16,000,13,000,13,000,30,000,13,000,13,000,30,000,12,000,13,000,10,000,15,000,13,000,13,000"
Commonwealth Pinklao,"
Charan Sanitwong Road, Khwaeng Bang Bumru, Khet Bang Phlat
","62.22,45,77,72,46,46,72,30,72,68,65","68,000,10,000,13,000,12,000,10,000,10,000,11,999,6,500,12,000,15,000,19,000"
City Home Ratchada - Pinklao,"
561 Charan Sanitwong Rd, Khwaeng Bang Ao, Khet Bang Phlat
","70,32,30,32.5,46,29,30,30,50,30,43,44,48,30,30,29,48,30,32,49","16,000,6,500,6,000,7,000,8,500,6,500,6,000,5,500,7,500,6,000,8,500,6,900,8,500,6,000,6,300,7,000,8,500,7,000,7,500,9,800"
Charansanitwong Condominium,"
Charan Sanitwong Condominium 1, Khwaeng Bang Bumru, Khet Bang Phlat
",,
Chateau In Town Rama 8,"
1571 Thanon Arun Amarin, Khwaeng Bang Yi Khan, Khet Bang Phlat
","30,30,31,30,31,31,30.88","11,000,12,000,12,000,10,990,15,000,13,000,11,000"
Ivy Residence Pinklao,"
Thanon Somdet Phra Pin Klao, Bang Yi Khan, Bang Phlat, Bangkok 10700
","40,47,59,45","13,000,15,000,25,000,12,500"
Charan 57,"
106 Soi Wat Ruak, Khwaeng Bang Bumru, Khet Bang Phlat
",,
Bangyeekhan Condominium,"
Arun Ammarin 53, Bang Yi Khan, Bang Phlat, Bangkok 10700
","31,30,28.5,28.5","4,200,4,200,4,500,4,500"
Brix Condominium,"
Charan Sanitwong Frontage Rd, Khwaeng Bang Yi Khan, Khet Bang Phlat
","26,28,25,25,28,29,28,25,26,48,24,25,28,25,34.55,25","9,500,9,500,11,000,10,000,10,000,10,000,10,000,9,500,10,000,16,000,9,990,9,990,9,990,9,500,14,000,10,000"
Bangkok River Marina,"
72 Charan Sanitwong Rd, Khwaeng Bang Phlat, Khet Bang Phlat
",,
Tangduan Condominium,"
วันนี้ซอยพระราม2 51แยก9 Khwaeng Tha Kham, Khet Bang Khun Thian
",,
Unio Rama 2 – Thakham,"
45/18 ซอย ท่าข้าม Khwaeng Samae Dam, Khet Bang Khun Thian
","26.65,27,27,23,27,27,23,23,26,27,23,23,27,23,26.65,23,26.65,26.65,26.65,26.65","7,000,7,500,8,500,7,000,7,500,7,500,7,000,7,000,8,000,7,500,7,500,7,000,7,500,7,000,7,500,7,000,8,500,8,8,8"
Bang Ao Riverview,"
Soi Charan Sanitwong 94/1, Khwaeng Bang Ao, Khet Bang Phlat
",,
Bang Ao Riverside,"
Soi Charan Sanitwong 94/1, Khwaeng Bang Ao, Khet Bang Phlat
","30,28","4,900,4,000"
Bang Ao Condominium,"
105 Charan Sanit Wong 95/1, Khwaeng Bang Ao, Khet Bang Phlat
",,
Rungpech Condominium,"
Rama II Soi 66, Samae Dam, Bang Khun Thian, Bangkok 10150
",,
Serrano Condominium Rama II,"
Rama II Soi 54, Khwaeng Samae Dam, Khet Bang Khun Thian
","33,35,34,32,32,30,32,32,27.9,28,29,32,32","9,000,8,000,8,000,7,000,9,000,6,000,9,500,9,000,8,000,8,500,8,500,10,000,9,000"
The Tree Privata,"
Thanon Pracha Rat Sai 1, Khwaeng Bang Sue, Khet Bang Sue
","28,24,27,27,28,28,27","8,000,8,500,6,800,6,800,8,500,10,000,6,800"
U Delight 2 @ Bang Sue Station,"
692 Thanon Pracha Chuen, Khwaeng Bang Sue, Khet Bang Sue
","34.11,27,28,27,27,28,49,49.5,27,27,27,27","8,000,8,500,9,500,8,000,8,000,7,500,16,000,15,000,8,200,8,000,8,500,8,500"
Smart Condo @ Rama 2,"
80/517 Soi Rak Sinpong, Khwaeng Samae Dam, Khet Bang Khun Thian
","29,29,28.5,28.5,28.5,30,24,24.5,29,30,30,30,28,28.5,28.5,28.5,28.5,28.5,25.3,28","5,950,5,900,6,000,5,800,5,800,5,500,4,500,4,500,6,000,5,000,5,000,5,000,4,500,5,500,5,491,5,500,6,000,5,500,5,000,6,500"
Ease Rama 2,"
พระรามที่ 2 ซอย 54 แยก 4 Khwaeng Samae Dam, Khet Bang Khun Thian
","26,26,30,26,25,26,26,26,25,26.1,26,26,29,26,25,26,27,26,26,30","8,000,9,000,9,000,7,000,7,500,7,500,7,000,7,000,7,000,8,000,7,000,7,500,7,500,7,000,7,000,8,000,8,000,7,500,7,000,6,500"
The Privacy Taopoon Interchange,"
367/9-10 ถนน กรุงเทพ- นนทบุรี Khwaeng Bang Sue, Khet Bang Sue
",,
The Tree Interchange,"
Thanon Pracha Rat Sai 2, Khwaeng Bang Sue, Khet Bang Sue
","30,63,36,29,36,36,31,70,36,36,29.5,36,35,36,30,36,35,30,36,22","10,000,22,000,10,000,12,000,9,500,12,000,12,000,22,000,10,000,11,000,12,000,11,000,12,000,9,000,9,000,12,000,20,000,9,000,10,500,8,500"
The Tree  Bang Po Station,"
340 Thanon Pracha Rat Sai 1, Khwaeng Bang Sue, Khet Bang Sue
","36,29.5,29.5,29.5,59,58.5,58.5,60,29.5,29,58.5,60,60,58.5,60,58.5,70,58.5,58.5,59","11,500,9,000,9,000,10,000,20,000,24,900,21,000,19,000,8,500,7,500,24,900,19,000,18,000,24,900,19,000,24,900,21,000,22,500,24,900,18,500"
The Stage Taopoon Interchange,"
251/5 Thanon Pracha Rat Sai 2, Khwaeng Bang Sue, Khet Bang Sue
","27,26.7,27,26.62,34,28.3,33,33,26.5,33,26,26.6,26,72,27,26,27,70,33,33.5","10,000,10,000,13,000,13,000,13,000,9,000,12,000,15,000,10,000,12,000,10,000,12,000,12,000,24,000,145,000,11,000,9,000,28,000,13,000,9,000"
Taopoon Mansion,"
616/31 เตชะวณิช Khwaeng Bang Sue, Khet Bang Sue
","32,32,32,32,32,32","5,000,4,000,5,000,5,500,5,500,5,500"
The Parkland Ratchada - Wongsawang,"
2558 ถนน กรุงเทพฯ-นนทบุรี Khwaeng Bang Sue, Khet Bang Sue
","44,30,30,30,30,30,30,30,44,39.76,35,30,30,30,30,30,30,30,31,30.28","15,000,8,500,8,000,9,000,9,000,9,000,9,000,9,000,15,000,15,000,9,000,10,000,9,000,8,500,8,000,10,000,13,000,11,000,9,500,8,000"
THE LINE Wongsawang,"
2574 ถนน กรุงเทพฯ-นนทบุรี Khwaeng Bang Sue, Khet Bang Sue
","32,32.16,32,32.16,49,26,32,48.75,55.75,32,37,29,22,32,32,32,56,29,31.16,37,49,32","15,000,13,500,13,994,12,500,19,000,12,000,15,000,20,24k,15,17k,10,000,24,000,15,000,15,000,14,000,24,000,12,000,12,500,15,000,22,000,25,000"
Supalai Veranda Ratchavipha - Prachachuen,"
18/9 ประชาชื่น Bang Sue, Bangkok 10800
","70,31.5,31,45,45,44,32,44,31,70,31.5,31.5,44,43.5,44,32,31,32,44,31","20,000,9,000,7,000,12,000,12,000,11,000,7,500,12,000,8,500,20,000,8,500,8,500,12,000,12,000,11,000,8,500,9,500,8,500,11,000,9,500"
Predee Place,"
Soi Krungthep-Nonthaburi 37, Khwaeng Wong Sawang, Khet Bang Sue
",,
Rich Park 2 @Taopoon Interchange,"
1538 Thanon Pracha Rat Sai 2, Khwaeng Bang Sue, แขวง บางซื่อ เขต บางซื่อ Krung Thep Maha Nakhon 10800
","30,30,30,35,21,30,30,30,29,30,30,30.38,30,30,28,30,30,35,30,30","10,000,9,500,13,000,10,000,8,300,11,000,9,500,11,000,14,000,13,000,8,500,7,000,9,000,10,000,9,000,8,500,10,000,9,000,11,000,8,500"
Richpark @ Bangson Station,"
Thanon Krungthep-Nonthaburi, Bang Sue, Bangkok 10800
","30,30,28,28,30,40,28,30,30,30,28,30.85,29.34,33,30,31,30,28,29,29","8,000,7,500,7,500,7,000,7,500,7,500,8,200,7,500,7,500,7,500,13,000,7,500,7,500,8,500,7,500,6,500,6,500,8,500,7,900,8,500"
Regent Home Bangson,"
1406 ถนน กรุงเทพ - นนทบุรี Khwaeng Bang Sue, Khet Bang Sue
","28,28,28,28,28,28,28,28,28,28,28,57,28,28,57,28,28,28,28,60","7,000,7,000,7,000,7,000,8,000,7,500,7,500,7,500,7,500,75,000,7,200,13,000,7,500,7,500,15,000,7,000,7,500,7,500,7,000,13,000"
Prachachuen Condominium,"
Soi Pracha Chuen 18, Khwaeng Bang Sue, Khet Bang Sue
",,
Regent Home 20 Prachachuen 16,"
Soi Saphan Thong, Bang Sue, Bangkok 10800
","30,30,30,31,30,31,31,31,31,32,32,31,31,32","6,500,6,500,8,000,7,000,8,000,6,500,6,500,6,500,6,500,6,500,7,000,7,500,6,500,6,500"
Piboon Condoville,"
88 Soi Nak Charoen, Khwaeng Wong Sawang, Khet Bang Sue
","25,25,23,22.5,22.5,23,25,25,25.3","4,500,4,000,4,500,3,000,3,000,5,000,4,300,4,500,4,300"
Niche Pride Taopoon - Interchange,"
576/12 Thanon Pracha Rat Sai 2, Khwaeng Bang Sue, Khet Bang Sue
",,
Green Point Prachachuen,"
8 Soi Ratchadaphisek 62, Khwaeng Wong Sawang, Khet Bang Sue
",60,"13,000"
Metro sky prachachuen,"
Thanon Pracha Chuen, Khwaeng Wong Sawang, Khet Bang Sue
","38,54,35,25,40,26,25,25,33.49,28,28,25,26,25.5,28,27,28,25.8,27.94,30","12,000,18,000,12,000,7,500,15,000,8,000,7,500,8,000,13,000,9,000,8,000,8,500,8,500,8,000,9,500,8,000,9,000,10,000,8,000,12,000"
Fresh Condominium,"
Soi Mu Ban Kritsana, Khwaeng Bang Sue, Khet Bang Sue
","28.83,28.83,28","7,500,8,000,8,500"
Cross Point,"
Thanon Pracha Rat Sai 2, Bang Sue, Bangkok 10800
",,
Ideo Mobi Bangsue Grand Interchange,"
22 Thanon Pracha Chuen, Khwaeng Bang Sue, Khet Bang Sue
","26,25,26,26,27,29.74,26,32.44,26.62,25,26,33,22,27.64,27,47,32,32,26,28,28,28","11,000,11,000,12,000,13,500,10,000,15,000,10,17k,12,000,10,000,9,900,16,000,11,000,12,000,25,000,17,000,17,000,9,900,10,000,10,000,10,000"
Ideo Mobi Wongsawang - Interchange,"
Thanon Krungthep-Nonthaburi, Khwaeng Bang Sue, Khet Bang Sue
","27,30,22,30,22.22,22,22.5,30,34,21.8,25,23,22,25,22,30.85,21.5,29.83,24,30,23","10,000,14,000,8,000,15,000,11,000,8,500,9,000,10,15k,13,000,10,000,8,000,8,000,10,000,8,500,13,000,10,000,7,500,10,000,14,000,8,000,10k"
Lumpini Ville Prachachuen - Phongphet 2,"
113-115 Thanon Pracha Chuen, Khwaeng Wong Sawang, Khet Bang Sue
","26.75,31.25,23,30,26,23,23,24,30,26,26.5,24,30.5,27.5,27,24,26.5,30.14,26,22","6,800,8,499,7,000,8,000,8,000,7,000,6,500,7,500,8,500,7,000,6,800,7,500,8,500,6,000,7,500,7,500,7,500,9,500,7,000,6,500"
